product_name,price,product_image,category,sold,disccount,free_ongkir,cod
S-288 Speaker Bluetooth Portable Free Mic Karaoke,42.500,https://down-id.img.susercontent.com/file/2b17991a0bdebdec52b2d4b401431360_tn,handphone-aksesoris,10RB+ Terjual,-15%,true,true
"Speaker Bluetooth 3381/338 Bonus Mic 6,5Inci/Salon Aktif Portable Radio Fm/Speaker Wireless Led",99.830,https://down-id.img.susercontent.com/file/ba2dd2488b4ad1b6fb7427693a2432fe_tn,handphone-aksesoris,10RB+ Terjual,-50%,true,true
HEADPHONE BLUETOOTH HEADSET WIRELESS MACARON Y08 STEREO HEADPHONE,27.000,https://down-id.img.susercontent.com/file/id-11134207-7qul5-lka1r4hbh589bf_tn,handphone-aksesoris,"8,3RB Terjual",,true,true
M10 plus TWS Bluetooth 5.1 Earphone HiFi Stereo Noise-canceling Sports Wireless powerbank 3500mAh,31.800,https://down-id.img.susercontent.com/file/id-11134201-23030-gttr39581gov2a_tn,handphone-aksesoris,10RB+ Terjual,,true,true
KIPAS ANGIN MINI/PORTABLE/GENGAM + ADA TEMPAT HP HARGA MURAH BISA COD RUSA KUCING,17.999,https://down-id.img.susercontent.com/file/sg-11134201-22100-39sy770614hv48_tn,handphone-aksesoris,10RB+ Terjual,-35%,true,true
Case ORI 100% Magsafe Matte Black Edition For IPHONE X XR XS MAX 15 14 15+ 14+ 14 12 11 PRO MAX PLUS Magnetic Hybrid Dove Hardcase Bumper,31.800,https://down-id.img.susercontent.com/file/id-11134207-7r98v-lmrptya6dabw8c_tn,handphone-aksesoris,"3,5RB Terjual",-47%,true,true
New! Deep Protection Silicone Case  - Fullcover Softcase for iPhone 15 15pro 15promax 15plus 7+ 8+ 11 11PRO 11PROMAX 12 13 MINI PRO PROMAX XR XSMAX,15.750,https://down-id.img.susercontent.com/file/id-11134207-7r992-lnv0mf9wj7uvfd_tn,handphone-aksesoris,"3,5RB Terjual",-65%,true,true
MINI FAN USB+LAMPU LED KIPAS MINI KARAKTER LUCU VANSTAR V55,19.000,https://down-id.img.susercontent.com/file/id-11134207-7r98s-lo6hxkkep4hvbd_tn,handphone-aksesoris,10RB+ Terjual,,true,true
Best Seller !!! Smartwatch T55 Jam Tangan Pintar Pria Wanita + 2 Tali,52.900,https://down-id.img.susercontent.com/file/1c45cc92040170aed49a11320803c36d_tn,handphone-aksesoris,10RB+ Terjual,-79%,true,true
Matte Glass 9H Anti Glare IPhone 15 / 15pro / 15plus / 15promax / X / XS / XS Max / XR / 11 / 11 pro / 11 pro max / 12 / 12 pro / 12 pro max / 12 mini / 13 / 13 pro / 13 pro max 13mini 14 14pro 14plus 14max 14promax  Tempered Glass Full Layar/Anti Minyak,8.730,https://down-id.img.susercontent.com/file/2d2b6dc4705ae44781d30864b95d1268_tn,handphone-aksesoris,10RB+ Terjual,>80% off,true,true
LEM LCD T7000 - LEM TOUCHSCREEN T-7000 / LEM CASING / LEM HP 15ML CAIRAN HITAM,6.999,https://down-id.img.susercontent.com/file/sg-11134201-23010-kmpn7o9jfgmv0c_tn,handphone-aksesoris,10RB+ Terjual,,true,true
Kipas Angin Fan Mini Portable Genggam USB Hiasan Meja Warna Lucu,18.900,https://down-id.img.susercontent.com/file/sg-11134201-7rbmh-lnsxpk8parhke0_tn,handphone-aksesoris,10RB+ Terjual,-69%,true,true
TEMPERED GLASS SUPERFIT PEMASANGAN GAMPANG TANPA GAGAL COVER PASTE CLEAR/ANTI SPY PRIVASI IPHONE 15/15 PRO/15 PRO MAX/15 PLUS/14/14 PLUS/14 PRO/14 PRO MAX/X/XS/XR/XS MAX/11/11 PRO/11 PRO MAX/12 MINI/12/12 PRO/12 PRO MAX/13 MINI/13/13 PRO/13 PRO MAX,14.000,https://down-id.img.susercontent.com/file/8ecd97027c9015380cab638f0c56bb59_tn,handphone-aksesoris,10RB+ Terjual,,true,true
Jovitech EP28 Original Wireless Ear Clip Earphone Bluetooth 5.3 TWS Ear Clip Headset Design Touch Sports Digital Display Headhone,139.900,https://down-id.img.susercontent.com/file/id-11134207-7r98o-lkzh8efi33i700_tn,handphone-aksesoris,"5,5RB Terjual",-65%,true,true
BETA0909 HEADSET BLUETOOTH INPODS WIRELESS i12 MACARON EARPHONE TWS BLUETOOTH 5.0 WARNA MACARON,32.000,https://down-id.img.susercontent.com/file/id-11134207-7r98o-ll399xl6ep4b1c_tn,handphone-aksesoris,"9,7RB Terjual",-68%,true,true
